Player,GS,Cmp%_zscore,Yds_zscore,Y/G_zscore,TD%_zscore,Int%_zscore,Sk%_zscore,Rate_zscore,ANY/A_zscore
Johnny Manziel,8,-1.2,-0.88,-1.38,-1.21,0.32,0.62,-1.27,-1.18
Jon Kitna,124,0.41,0.94,0.82,0.08,0.16,-0.09,0.1,0.04
Jonathan Quinn,6,-0.77,-1.12,-1.35,-1.14,-0.05,1.44,-0.94,-1.25
Josh Allen,27,-1.15,0.25,-0.23,-0.09,0.02,0.06,-0.36,-0.17
Josh Freeman,57,-0.1,0.71,0.5,0.24,0.13,-0.53,0.03,0.19
Josh Johnson,8,-1.17,-1.03,-0.98,-0.32,1.25,0.47,-1.08,-0.92
Josh McCown,76,0.04,-0.13,0.02,-0.06,0.09,0.31,-0.04,-0.15
Josh Rosen,16,-1.57,-0.25,-0.73,-0.91,0.56,1.0,-1.2,-1.14
Keith Null,4,0.38,-1.0,-0.45,-0.52,2.15,0.97,-1.26,-1.75
Kellen Clemens,21,-0.88,-0.56,-0.67,-0.74,-0.12,0.63,-0.57,-0.47
Kellen Moore,2,-0.79,-1.16,0.57,-0.33,2.33,-0.7,-1.47,-0.68
Kelly Holcomb,24,0.9,-0.44,-0.05,0.36,0.21,0.05,0.29,-0.12
Kelly Stouffer,16,-0.5,-0.66,-0.59,-1.03,0.04,0.55,-0.85,-0.94
Ken Anderson,33,1.72,0.53,0.58,0.05,-0.4,-0.22,1.0,0.72
Ken Dorsey,13,-0.87,-0.82,-0.5,-1.01,0.29,-0.51,-1.11,-0.96
Ken Karcher,3,0.32,-0.44,0.88,0.1,-0.1,-0.63,0.1,0.06
Ken O'Brien,110,0.64,1.05,0.74,-0.05,-0.71,0.21,0.58,0.4
Ken Stabler,22,0.37,-0.02,-0.23,-0.4,0.66,-0.74,-0.43,-0.38
Kent Graham,38,-0.64,-0.42,-0.38,-0.45,-0.64,-0.13,-0.29,-0.18
Kerry Collins,169,-0.27,0.73,0.61,-0.14,-0.24,-0.69,-0.02,0.2
Kevin Hogan,1,0.02,-1.13,-1.15,0.81,1.92,0.05,-0.65,-0.72
